level,Bucket,flow
,,
1,1,Easy
2,1,Easy
3,1,Easy
4,1,Easy
5,1,Medium
6,1,Easy
7,1,Medium
8,1,Medium
9,1,Medium
10,1,Easy
11,1,Easy
12,1,Easy
13,1,Easy
14,1,Easy
15,1,Hard
16,1,Easy
17,1,Medium
18,1,Medium
19,1,Super Hard
20,1,Easy
21,2,Easy
22,2,Medium
23,2,Hard
24,2,Medium
25,2,Hard
,,
26,2,Easy
27,2,Hard
28,2,Medium
29,2,Super Hard
30,2,Hard
31,2,Easy
32,2,Hard
33,2,Medium
34,2,Hard
35,2,Super Hard
36,2,Easy
37,2,Hard
38,2,Medium
39,2,Super Hard
40,2,Easy
41,3,Easy
42,3,Hard
43,3,Medium
44,3,Medium
45,3,Hard
46,3,Medium
47,3,Medium
48,3,Hard
49,3,Super Hard
50,3,Easy
51,3,Medium
52,3,Medium
53,3,Hard
54,3,Medium
55,3,Hard
56,3,Easy
57,3,Medium
58,3,Medium
59,3,Super Hard
60,3,Easy
61,4,Medium
62,4,Hard
63,4,Easy
64,4,Medium
65,4,Hard
66,4,Easy
67,4,Medium
68,4,Hard
69,4,Super Hard
70,4,Easy
71,4,Medium
72,4,Hard
73,4,Easy
74,4,Medium
75,4,Hard
76,4,Easy
77,4,Medium
78,4,Medium
79,4,Super Hard
80,4,Easy
81,5,Medium
82,5,Hard
83,5,Easy
84,5,Medium
85,5,Hard
86,5,Easy
87,5,Medium
88,5,Medium
89,5,Super Hard
90,5,Easy
91,5,Medium
92,5,Medium
93,5,Medium
94,5,Hard
95,5,Super Hard
96,5,Easy
97,5,Medium
98,5,Medium
99,5,Super Hard
100,5,Easy
101,6,Medium
102,6,Medium
103,6,Medium
104,6,Medium
105,6,Hard
106,6,Easy
107,6,Easy
108,6,Hard
109,6,Super Hard
110,6,Easy
111,6,Easy
112,6,Hard
113,6,Medium
114,6,Easy
115,6,Hard
116,6,Easy
117,6,Hard
118,6,Medium
119,6,Super Hard
120,6,Easy
121,7,Easy
122,7,Medium
123,7,Hard
124,7,Medium
125,7,Hard
126,7,Easy
127,7,Hard
128,7,Medium
129,7,Super Hard
130,7,Hard
131,7,Easy
132,7,Hard
133,7,Medium
134,7,Hard
135,7,Super Hard
136,7,Easy
137,7,Hard
138,7,Medium
139,7,Super Hard
140,7,Easy
141,8,Easy
142,8,Hard
143,8,Medium
144,8,Medium
145,8,Hard
146,8,Medium
147,8,Medium
148,8,Hard
149,8,Super Hard
150,8,Easy
151,8,Medium
152,8,Medium
153,8,Hard
154,8,Medium
155,8,Hard
156,8,Easy
157,8,Medium
158,8,Medium
159,8,Super Hard
160,8,Easy
161,9,Medium
162,9,Hard
163,9,Easy
164,9,Medium
165,9,Hard
166,9,Easy
167,9,Medium
168,9,Hard
169,9,Super Hard
170,9,Easy
171,9,Medium
172,9,Hard
173,9,Easy
174,9,Medium
175,9,Hard
176,9,Easy
177,9,Medium
178,9,Medium
179,9,Super Hard
180,9,Easy
181,10,Medium
182,10,Hard
183,10,Easy
184,10,Medium
185,10,Hard
186,10,Easy
187,10,Medium
188,10,Medium
189,10,Super Hard
190,10,Easy
191,10,Medium
192,10,Medium
193,10,Medium
194,10,Hard
195,10,Super Hard
196,10,Easy
197,10,Medium
198,10,Medium
199,10,Super Hard
200,10,Easy
201,11,Medium
202,11,Hard
203,11,Medium
204,11,Hard
205,11,Super Hard
206,11,Easy
207,11,Medium
208,11,Medium
209,11,Hard
210,11,Easy
211,11,Medium
212,11,Medium
213,11,Super Hard
214,11,Medium
215,11,Hard
216,11,Easy
217,11,Medium
218,11,Medium
219,11,Super Hard
220,11,Easy
221,12,Medium
222,12,Hard
223,12,Easy
224,12,Medium
225,12,Hard
226,12,Easy
227,12,Medium
228,12,Medium
229,12,Super Hard
230,12,Easy
231,12,Medium
232,12,Medium
233,12,Hard
234,12,Easy
235,12,Hard
236,12,Easy
237,12,Medium
238,12,Hard
239,12,Super Hard
240,12,Easy
241,13,Medium
242,13,Hard
243,13,Easy
244,13,Medium
245,13,Hard
246,13,Easy
247,13,Medium
248,13,Hard
249,13,Super Hard
250,13,Satisfy
251,13,Medium
252,13,Hard
253,13,Medium
254,13,Hard
255,13,Super Hard
256,13,Satisfy
257,13,Medium
258,13,Medium
259,13,Super Hard
260,13,Easy
261,14,Medium
262,14,Hard
263,14,Easy
264,14,Satisfy
265,14,Hard
266,14,Easy
267,14,Hard
268,14,Easy
269,14,Super Hard
270,14,Easy
271,14,Medium
272,14,Hard
273,14,Medium
274,14,Easy
275,14,Hard
276,14,Satisfy
277,14,Medium
278,14,Medium
279,14,Super Hard
280,14,Easy
281,15,Medium
282,15,Hard
283,15,Easy
284,15,Medium
285,15,Hard
286,15,Easy
287,15,Medium
288,15,Hard
289,15,Super Hard
290,15,Easy
291,15,Medium
292,15,Hard
293,15,Easy
294,15,Medium
295,15,Hard
296,15,Medium
297,15,Medium
298,15,Hard
299,15,Super Hard
300,15,Easy
301,16,Easy
302,16,Hard
303,16,Medium
304,16,Hard
305,16,Super Hard
306,16,Easy
307,16,Medium
308,16,Medium
309,16,Super Hard
310,16,Easy
311,16,Easy
312,16,Hard
313,16,Medium
314,16,Medium
315,16,Super Hard
316,16,Easy
317,16,Medium
318,16,Hard
319,16,Super Hard
320,16,Easy
321,17,Medium
322,17,Hard
323,17,Medium
324,17,Medium
325,17,Super Hard
326,17,Easy
327,17,Medium
328,17,Medium
329,17,Super Hard
330,17,Easy
331,17,Easy
332,17,Hard
333,17,Easy
334,17,Medium
335,17,Super Hard
336,17,Easy
337,17,Medium
338,17,Hard
339,17,Super Hard
340,17,Easy
341,18,Easy
342,18,Hard
343,18,Easy
344,18,Easy
345,18,Super Hard
346,18,Easy
347,18,Medium
348,18,Hard
349,18,Super Hard
350,18,Easy
351,18,Medium
352,18,Hard
353,18,Medium
354,18,Hard
355,18,Super Hard
356,18,Easy
357,18,Easy
358,18,Medium
359,18,Hard
360,18,Easy
361,19,Easy
362,19,Super Hard
363,19,Medium
364,19,Easy
365,19,Hard
366,19,Easy
367,19,Medium
368,19,Hard
369,19,Super Hard
370,19,Easy
371,19,Easy
372,19,Medium
373,19,Super Hard
374,19,Medium
375,19,Hard
376,19,Easy
377,19,Medium
378,19,Medium
379,19,Hard
380,19,Easy
381,20,Medium
382,20,Hard
383,20,Medium
384,20,Super Hard
385,20,Hard
386,20,Easy
387,20,Medium
388,20,Medium
389,20,Hard
390,20,Easy
391,20,Easy
392,20,Super Hard
393,20,Medium
394,20,Medium
395,20,Hard
396,20,Medium
397,20,Medium
398,20,Hard
399,20,Super Hard
400,20,Easy
